rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
127,"spotify:track:6bdpj89aYEBjhpsenXAsmO","A.R. Rahman, Arijit Singh","Enna Sona","Sony Music Entertainment India Pvt. Ltd.",34,120,141,"1185162"
128,"spotify:track:6FAYpZ4jve8vpvTwUvjK6H","Vishal-Shekhar, Arijit Singh, Sukriti Kakar, Vishal Dadlani, Shekhar Ravjiani, Kumaar","Jhoome Jo Pathaan","YRF Music",3,118,56,"1162605"
129,"spotify:track:0czcoKJbJt08NqKrvSbbz7","Pritam, Arijit Singh, Amitabh Bhattacharya","O Bedardeya (From ""Tu Jhoothi Main Makkaar"")","T-Series",1,122,45,"1161056"
130,"spotify:track:3jyqXdAjwqO3gFtjnYrbq9","Darshan Raval, Rochak Kohli","Ek Ladki Ko Dekha Toh Aisa Laga (From ""Ek Ladki Ko Dekha Toh Aisa Laga"")","Saregama",59,149,61,"1161040"
131,"spotify:track:3wwLWFRLiReDf5AqgmAJwT","Rito Riba, Rajat Nagpal, Rana Sotal","Heer Ranjha","PlayDMF",11,119,64,"1160670"
132,"spotify:track:6ZYxNjuAU9Vy3VtF6W1dtE","Shubh","We Rollin","SHUBH",10,132,112,"1160069"
133,"spotify:track:7mSzDKajY2wUtstQSLdzMK","Mohit Chauhan, Rochak Kohli","Rang Lageya","Saregama",35,123,51,"1159822"
134,"spotify:track:6MZyrnqwsLnrWY5Gk0AyXg","Suzonn","Farq hai","Suzonn",60,158,19,"1157088"
135,"spotify:track:3mUkVsovIuscQlSoMhmAZt","Madhur Sharma, Swapnil Tare, Nusrat Fateh Ali Khan","Kali Kali Zulfon Ke (Lo-Fi)","T-Series",6,115,71,"1153407"
136,"spotify:track:6fScgF2Y63ScU73nYju0ny","Atif Aslam, Arko","O Saathi","T-Series",58,133,77,"1152790"
137,"spotify:track:1feANd8EfcDP5UqSvbheM3","Sachet Tandon, Sachet-Parampara","Bekhayali (From ""Kabir Singh"")","T-Series",1,134,210,"1144227"
138,"spotify:track:0H2iJVgorRR0ZFgRqGUjUM","Pritam, Arijit Singh","Channa Mereya","Sony Music Entertainment India Pvt. Ltd.",58,140,208,"1137165"
139,"spotify:track:0GlMiCB4JQRIN6n9h7WkNi","Shubh","Hood Anthem","SHUBH",139,142,2,"1134606"
140,"spotify:track:3ygfdwvBJ2Y5XhJiiHFFZE","Sachet Tandon","Maiyya Mainu","Zee Music Company",5,153,68,"1121187"
141,"spotify:track:6f3ANRNQ8nCiPZ6VqXqq93","Amaal Mallik, Armaan Malik, Rashmi Virag","Main Rahoon Ya Na Rahoon","T-Series",141,159,6,"1120406"
142,"spotify:track:5O932cZmzOZGOGZz9RHx20","Pritam, Arijit Singh","Khairiyat","T-Series",1,135,228,"1115805"
143,"spotify:track:6V7UVqe8XnAS4WPdpaw5TK","Asees Kaur, Stebin Ben","Tu Mile Dil Khile","Saregama",20,129,49,"1111179"
144,"spotify:track:5O2P9iiztwhomNh8xkR9lJ","One Direction","Night Changes","Syco Music",22,144,140,"1108933"
145,"spotify:track:28lvraTNIN8qiTpoIK7m8Z","AP Dhillon, Shinda Kahlon","True Stories","Mass Appeal India",15,151,31,"1102525"
146,"spotify:track:2sT0eosuhBEkw8dz6qFxUo","Anurag Saikia, Raghav Chaitanya, Raj Shekhar, Nikhita Gandhi","Aise Kyun","Netflix Music",126,126,4,"1101490"
147,"spotify:track:6cUOiOY5qh2FpIQWIYAd2h","Pritam, Darshan Raval, Antara Mitra","Mehrama","Sony Music Entertainment India Pvt. Ltd.",10,137,164,"1096858"
148,"spotify:track:533hHUYw7BW8VVQ1o0IdTR","Swati Mishra","Ram Ayenge","Swati Mishra",81,143,3,"1096136"
149,"spotify:track:2eAvDnpXP5W0cVtiI0PUxV","Ruth B.","Dandelions","Columbia",14,145,112,"1079682"
150,"spotify:track:0tpwqQhdfJXRcUDSNRjb9O","Arijit Singh, Neeti Mohan, Rashmi Virag","Mere Yaaraa (From ""Sooryavanshi"")","T-Series",20,130,88,"1078270"
151,"spotify:track:7CyPwkp0oE8Ro9Dd5CUDjW","The Weeknd, JENNIE, Lily-Rose Depp","One Of The Girls (with JENNIE, Lily Rose Depp)","XO / Republic Records",151,185,2,"1078145"
152,"spotify:track:0NuWRfZRWzn1oc9piFhK9n","MC SQUARE, Hiten","Laado","Sony Music Entertainment India Pvt. Ltd.",11,169,19,"1073875"
153,"spotify:track:0biCSADTAblvLTLtJz4pXO","Vishal-Shekhar, Arijit Singh, Caralisa Monteiro, Jaideep Sahni","Nashe Si Chadh Gayi","YRF Music",133,161,24,"1067889"
154,"spotify:track:5Gy67YHzPZTk9Q0D73LAGH","Jeet Gannguli, Arijit Singh","Khamoshiyan (From ""Khamoshiyan"")","Sony Music Entertainment India Pvt. Ltd.",90,146,38,"1067655"
155,"spotify:track:6biqkuWq069vByAEeGxZlr","Shubh","Her","SHUBH",30,-1,38,"1064439"
156,"spotify:track:6FjbAnaPRPwiP3sciEYctO","Pritam, Arijit Singh","Raabta","T-Series",41,136,86,"1064266"
157,"spotify:track:6Z4rRhYZVQsYKmrxD40tru","Riar Saab, Abhijay Sharma","Obsessed","Mass Appeal India, LLC",2,147,37,"1061231"
158,"spotify:track:4SJMuaIYcBS8ke96lDYOsw","Karan Aujla","On Top","Karan Aujla Music",17,175,34,"1058032"
159,"spotify:track:7v0t3o17J796y9OG2n3ebl","B Praak, Jaani","Kya Loge Tum","Universal Music India Pvt Ltd. – Distribution",10,141,35,"1057695"
160,"spotify:track:1RdrAqXa2fUj2XytsKaUwl","Irshad Khan","Haryana Hood","Bajewala Records Haryanvi",40,160,39,"1056735"
161,"spotify:track:3rUGC1vUpkDG9CZFHMur1t","Tate McRae","greedy","RCA Records Label",119,171,12,"1056413"
162,"spotify:track:1d5lpW3gUyq537iuyrb9Lf","Aditya Rikhari","Samjho Na","CollabX Productions",73,154,39,"1054828"
163,"spotify:track:2NmBCDkjvJVvEZkH5QDOeb","Varinder Brar, Rav Dhaliwal, Ultra Beats","Thaa","Varinder Brar Music",10,162,39,"1054148"
164,"spotify:track:0DXfJ2iKRDEG7rPgssWFea","Kanishk Seth, Kavita Seth","Rangisari (From ""Jugjugg Jeeyo"")","T-Series",22,150,62,"1048683"
165,"spotify:track:7o1SDLghDwMc4OW3rKakVt","Bir, Dhanju, thiarajxtt","Afterhours","Sky Digital",87,174,31,"1048124"
166,"spotify:track:0GQngE2rOYvlKwEQjTAsP8","Pritam, Sreeram, Shilpa Rao","Subhanallah","T-Series",107,165,45,"1046940"
167,"spotify:track:7Imk0IG6S5GA5iYWkjmMW5","Palak Muchhal, Arijit Singh","Chahun Main Ya Naa (From ""Aashiqui 2"")","T-Series",148,148,14,"1043046"
168,"spotify:track:1AMD2AkfGrKoKhwkvYLbza","Sunny Yaduvanshi, AK Rok, Nitesh Ujoli, Elvish Yadav","Yadav Brand 2 (feat. Elvish Yadav)","Flame Music",9,177,45,"1041185"
169,"spotify:track:6O1RAYwmOqkcoJQr7J9SFJ","Manan Bhardwaj, Arijit Singh","Oonchi Oonchi Deewarein","T-Series",52,155,14,"1038443"
170,"spotify:track:3APdIdF8H0jsxSuGOqXedS","Rashid Ali","Kabhi Kabhi Aditi","T-Series",73,184,99,"1038381"
171,"spotify:track:3qrdLVOClRU4yPkcXZ7c5u","Ayushmann Khurrana, Tanishk-Vayu","Mere Liye Tum Kaafi Ho (From ""Shubh Mangal Zyada Saavdhan"")","T-Series",11,156,204,"1029830"
172,"spotify:track:4OEBP1iwGmLtcM8UKRLm80","Arijit Singh, Antara Mitra","Itni Si Baat Hain (From ""Azhar"")","T-Series",144,166,6,"1027073"
173,"spotify:track:7K6RLbkpqZI4OaoSnLcBiU","AUR, ZAYN","Tu hai kahan (feat. ZAYN)","Sony Music Entertainment",173,-1,1,"1021164"
174,"spotify:track:6aQIGqAo9PxRKjUkhYtR6R","Anirudh Ravichander, Priya Mali","Hayyoda (From ""Jawan"")","T-Series",14,193,21,"1015312"
175,"spotify:track:0rk2X5TAhraBC5aCIXK2Rq","Jawad Ahmad, Shaarib Toshi, Arijit Singh, Shreya Ghoshal","Samjhawan","Sony Music Entertainment India Pvt. Ltd.",70,111,142,"1007099"
176,"spotify:track:7aE1lfskJLMHQnzCCP1zsV","Akhil Sachdeva, Mansheel Gujral","Humsafar (From ""Badrinath Ki Dulhania"")","T-Series",158,163,13,"1005825"
177,"spotify:track:7H3mfOvtPNA8YDF3EdKy0L","Neeraj Shridhar, Kavita Seth, Pritam","Tum Hi Ho Bandhu","Eros Now Music",144,176,13,"1005243"
178,"spotify:track:6V4N3h4HYD1Ask9cUTxjjg","Taimour Baig, Raffey Anwar, AUR","Long time no see","Universal Music MENA",66,170,13,"1004211"
179,"spotify:track:3JkVYvxNoGf2HCWJo61462","Sidhu Moose Wala, Sunny Malton, SOE","Never Fold","Sidhu Moose Wala",13,194,91,"1001809"
180,"spotify:track:3yNhGgQMPOdqVFpjRu8k8x","Thaman S, Sanjith Hegde, Saraswati Putra Ramajogayya Sastry","Dum Masala (From ""Guntur Kaaram"")(Telugu)","Aditya Music",180,-1,1,"998784"
181,"spotify:track:1fGXJZny7HUQnLKwttxmYw","Vishal Mishra, Raj Shekhar","Marham (Pehle Bhi Main) [From ""ANIMAL""]","T-Series",181,-1,1,"998229"
182,"spotify:track:43YkTTlOD203o9E5ZxhUjF","Arijit Singh","Main Dhoondne Ko Zamaane Mein (From ""Heartless"")","T-Series",62,172,119,"995099"
183,"spotify:track:1YMLgvsQdE27r30q0fsLeV","Arijit Singh","Tera Fitoor","Tips Industries Ltd",87,-1,28,"995029"
184,"spotify:track:2qxmye6gAegTMjLKEBoR3d","Alec Benjamin","Let Me Down Slowly","2018",34,192,197,"994910"
185,"spotify:track:1g9V1QE7vbeAx5Xm04DfLi","Dhruv Vikram, Shruti Haasan, Chinmayi","Odiyamma (From ""Hi Nanna"") [TELUGU]","T-Series",185,-1,1,"991290"
186,"spotify:track:4Tkb7zsDmsawB7S5TpKQV1","Atif Aslam, Shiraz Uppal","Pehli Dafa","T-Series",159,197,11,"987743"
187,"spotify:track:7lNbI1xd39QRdf6Mj8tvTv","Javed Ali","Saudebazi (Encore) [From ""Aakrosh""]","T-Series",108,173,21,"986143"
188,"spotify:track:7qiZfU4dY1lWllzX7mPBI3","Ed Sheeran","Shape of You","Atlantic Records UK",63,190,193,"980856"
189,"spotify:track:2y0hUGvHaKm2p5xmJF4HBe","Arijit Singh","Saware (From ""Phantom"")","T-Series",82,178,46,"980149"
190,"spotify:track:6TClJ8jXi3OBV7gcrU3jx5","AP Dhillon, Gurinder Gill","TERE TE","RUN-UP RECORDS",7,-1,97,"978429"
191,"spotify:track:1ExaQYPap38faw3FEqKcGY","Mankirt Aulakh, Simar Kaur, Flamme Music","Koka","Sky Digital",184,-1,4,"974978"
192,"spotify:track:7fW9J3EpVWVN1ouv0slAs0","KK","Kya Mujhe Pyar Hai (From ""Woh Lamhe"")","T-Series",42,179,53,"972376"
193,"spotify:track:4ZVtid5khBfDx6Co0vTUE6","Jassa Dhillon, thiarajxtt","SPAIN","Jassa Dhillon",14,-1,34,"971457"
194,"spotify:track:3GEiVoaUXq468gfYs2EPfh","DIVINE, Sidhu Moose Wala","Chorni","DIVINE",8,199,27,"967700"
195,"spotify:track:2uWZ7EGddFlA1DJ3Rzzvs2","Karan Aujla, Ikky, Yarah","Bachke Bachke (feat. Yarah)","WM Canada",57,180,20,"967245"
196,"spotify:track:1q6pMQBRILzkz0g4rKEXdM","Palak Muchhal","Kaun Tujhe (From ""M.S.Dhoni - The Untold Story"")","T-Series",57,182,27,"964318"
197,"spotify:track:18YHbIhrleUkKKj2DvEp79","Pritam, KK","Zara Sa","Sony Music Entertainment India Pvt. Ltd.",33,198,47,"962278"
198,"spotify:track:5nQA7m7xypeL7dFaGRwJO5","Shallum Lama","Timro Pratiksa","Sony Music Entertainment India Pvt. Ltd.",132,168,6,"960595"
199,"spotify:track:2F5IqHVyzaEbnKiKQvfAFT","Payal Dev, Vishal Mishra, Manoj Muntashir","Ram Aayenge","T-Series",199,-1,1,"959548"
200,"spotify:track:0Bz7dfqPY4JOGZO3O1j8Wh","Pritam, Amit Mishra, Shilpa Rao","Bulleya","Sony Music Entertainment India Pvt. Ltd.",124,188,23,"956687"
