rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
136,"spotify:track:0tWqngfOXKN1xOlYK4WwVw","Sơn Tùng M-TP","Âm Thầm Bên Em","Universal Music Indochina Distributed Labels",35,145,163,"144978"
137,"spotify:track:0lizgQ7Qw35od7CYaoMBZb","Ariana Grande","Santa Tell Me","Universal Records",14,197,27,"143131"
138,"spotify:track:2aRg0cOGQ5k0rs3AK5nJPD","Wxrdie, RPT JasonDilla, 24k.Right","Nhạc Trap Căng Nhất 2023","LOOPS Music",116,140,7,"142073"
139,"spotify:track:71Q8QWLpvwvfQ6zM5BdCnm","2T, Văn","Liệu Giờ","LOOPS Music",22,144,170,"141072"
140,"spotify:track:2QUU1AtY5fndKDNbr17EFk","tlinh","người điên","Universal Music Indochina Distributed Labels",10,123,16,"140166"
141,"spotify:track:6zrQLaZG0OlT63oUDwFKri","Low G","Càng Cua","Nhà Hóa Học Đống Đa",66,170,14,"139609"
142,"spotify:track:1wvLeW8THXNent0N2sGSgF","Sáo","Ngồi Nhìn Em Khóc","Yin Yang Media",95,184,30,"139318"
143,"spotify:track:4h3K653rm69JYWpO4du2BJ","Andiez","Chờ Đợi Có Đáng Sợ","Yin Yang Media",76,137,77,"139263"
144,"spotify:track:3XEspwit4d8gwKKgeopfCv","Sean, Lửa","Em Thích","MaiDao Music",65,138,47,"138958"
145,"spotify:track:6A1IbMKwjvXibcrU1sdqKH","MONO, Onionn.","Em Là","M Music Records",8,153,65,"138772"
146,"spotify:track:2rGCYAabfA63PIzhQm7hVq","VSTRA","Internet Love","CDSL",56,128,100,"138192"
147,"spotify:track:4A4Qdq6Jl4XilO2FS1sq2y","Rapital, RPT Orijinn, Low G, RZ Ma$, RPT MCK, RPT Phongkhin","Thủ Đô Cypher (RPT Phongkhin Remix)","M Music Records",147,174,3,"138091"
148,"spotify:track:0h7QMc9ZRzA9QJrbEHytn2","Jin","The Astronaut","BIGHIT MUSIC",1,-1,23,"137958"
149,"spotify:track:2nR51wakN5K3AJENqGaNg9","Đen, MIN","Bài Này Chill Phết","Đen",1,176,236,"137940"
150,"spotify:track:1GJ3suxtUVaguVQRemw6Zp","Andiez","Suýt Nữa Thì...","MaiDao Music",82,196,74,"137787"
151,"spotify:track:3rUGC1vUpkDG9CZFHMur1t","Tate McRae","greedy","RCA Records Label",107,133,9,"137568"
152,"spotify:track:06qMRF18gwbOYYbnP2du6i","Wham!","Last Christmas - Single Version","Sony Music CG",13,-1,23,"137275"
153,"spotify:track:41aMYNen9G7uUbqLfV65cF","Rapital, RPT MCK, Phongkhin","Tay To","M Music Records",58,165,126,"137057"
154,"spotify:track:7D9tiidrBDQRgCENeIhko0","Mỹ Tâm","Vì Em Tất Cả","MT Entertainment",61,117,4,"136758"
155,"spotify:track:7h69br1nQFSSgdVQp6sPx6","HIEUTHUHAI, B Ray, Tage","Không Phải Gu","M Music Records",51,127,8,"136666"
156,"spotify:track:3fw9v7CztM2mqu1jCtbg9f","Phương Mỹ Chi, DTAP","Bóng Phù Hoa","WM Vietnam",37,119,11,"136255"
157,"spotify:track:1dGr1c8CrMLDpV6mPbImSI","Taylor Swift","Lover","Taylor Swift",2,160,47,"135959"
158,"spotify:track:3J3nv18iIrOhca1ZWNeuyW","JustaTee","Đã Lỡ Yêu Em Nhiều","NGUYEN THANH TUAN",36,148,58,"135289"
159,"spotify:track:05X3a0YGmS1rbH50aL8lGF","Văn Mai Hương, Hứa Kim Tuyền","Một Ngàn Nỗi Đau","Yin Yang Media",7,130,76,"134923"
160,"spotify:track:5sdQOyqq2IDhvmx2lHOpwd","NewJeans","Super Shy","ADOR",12,164,20,"134269"
161,"spotify:track:5odlY52u43F5BjByhxg7wg","JVKE","golden hour","JVKE",6,188,58,"134171"
162,"spotify:track:0hiQvlWSSTr7n1kc1X2Lus","HIEUTHUHAI, Harmonie","Bật Nhạc Lên","GERDNANG",59,180,163,"134036"
163,"spotify:track:6uxuJ8Fr1AAfSPJUF9N1yr","Vũ.","Bước Qua Mùa Cô Đơn","WM Vietnam",1,159,156,"133477"
164,"spotify:track:2pn8dNVSpYnAtlKFC8Q0DJ","ROSÉ","On The Ground","YG Entertainment",1,146,89,"133471"
165,"spotify:track:2c0QMztYu6PCfFrGLqHXIV","Phí Phương Anh, RIN9","Răng Khôn (feat. RIN9)","Yin Yang Media",6,139,94,"133276"
166,"spotify:track:0DtarPcErIh4skfFtxzomo","Tama","Ngày Em Đẹp Nhất","Tama",104,142,26,"131801"
167,"spotify:track:3r8RuvgbX9s7ammBn07D3W","NewJeans","Ditto","ADOR",1,175,36,"131350"
168,"spotify:track:5ONOlTiqymhzwcFjqcIT6E","Jung Kook","Hate You","BIGHIT MUSIC",12,111,5,"131341"
169,"spotify:track:5C4ajMLziq5yB7I5K6EsLS","MYLINA, fueled by boba","Giấc Mơ Của Em","LOOPS Music",53,199,12,"130206"
170,"spotify:track:56y1jOTK0XSvJzVv9vHQBK","Doja Cat","Paint The Town Red","Kemosabe Records/RCA Records",24,171,15,"130183"
171,"spotify:track:5ydjxBSUIDn26MFzU3asP4","V","Rainy Days","BIGHIT MUSIC",3,126,17,"130045"
172,"spotify:track:6HpkHTTwfVmSoopeloHqOp","RAP VIỆT, Dick, DT Tập Rap, UMIE","Anh Là Ai? (feat. Dick, DT & UMIE)","DAT VIET VAC",3,151,21,"129976"
173,"spotify:track:4MRXbWH2BzuUZcoabj6HRh","Táo","Blue Tequila","Yin Yang Media",26,167,165,"129749"
174,"spotify:track:5YiqPAVbiFUj1G1qvbXo0X","Chillies","Giấc Mơ Khác","WM Vietnam",14,147,43,"129462"
175,"spotify:track:6Wi18yv3aoO0ZF4uulguof","Ngọt, Mạc Mai Sương","Đá tan","Ngọt",55,156,25,"129367"
176,"spotify:track:486dVHo58R4EhBQjcYF2NX","RAP VIỆT, Tez, Myra Trần","Khi Cơn Mơ Dần Phai (feat. Tez & Myra Trần)","DAT VIET VAC",5,143,14,"129347"
177,"spotify:track:3y6kYOBeVg8jtUiBdTR0pD","Tùng TeA, PC, TaynguyenSound","Già Cùng Nhau Là Được","12 trái lê",70,161,92,"128694"
178,"spotify:track:2a5hng9yXtbjtTVVm9UviC","Vũ Cát Tường","Mơ","Universal Music Indochina Distributed Labels",132,141,70,"127619"
179,"spotify:track:1AZjCZSGEjlxUufFQwSszF","RM, Youjeen","Wild Flower (with youjeen)","BIGHIT MUSIC",1,-1,17,"127024"
180,"spotify:track:0AJi38NumMDXqo8pRw6zdh","Ngọt","LẦN CUỐI (đi bên em xót xa người ơi)","Ngọt",5,-1,157,"126848"
